アブストラクトアート	abstract|art	AE0_B_S_T_R_AE1_K_T|AA1_R_T
アブストラクトゲーム	abstract|game	AE0_B_S_T_R_AE1_K_T|G_EY1_M
アカデミックディスカウント	academic|discount	EH1_M_IH0_K|D_IH0_S_K_AW1_N_T
アカデミックガウン	academic|gown	AE2_K_AH0_D_EH1_M_IH0_K|G_AW1_N
アカデミックパッケージ	academic|package	AE2_K_AH0_D_EH1_M_IH0_K|P_AE1_K_AH0_JH
アクセラレーティッドコンピューティング	accelerated|computing	AE0_K_S_EH1_L_ER0_EY2_T_IH0_D|K_AH0_M_P_Y_UW1_T_IH0_NG
アクセラレーテッドコンピューティング	accelerated|computing	AE0_K_S_EH1_L_ER0_EY2_T_IH0_D|K_AH0_M_P_Y_UW1_T_IH0_NG
アクセラレータカード	accelerator|card	AE0_K_S_EH1_L_ER0_EY2_T_ER0|K_AA1_R_D
アクセスアーム	access|arm	AE1_K_S_EH2_S|AA1_R_M
アクセスブロック	access|block	AE1_K_S_EH2_S|B_L_AA1_K
アクセスチャージ	access|charge	AE1_K_S_EH2_S|CH_AA1_R_JH
アクセスコード	access|code	AE1_K_S_EH2_S|K_OW1_D
アクセスコンテキスト	access|context	AE1_K_S_EH2_S|K_AA1_N_T_EH0_K_S_T
アクセスコントロール	access|control	AE1_K_S_EH2_S|K_AH0_N_T_R_OW1_L
アクセスコントロールリスト	access|control|list	AE1_K_S_EH2_S|K_AH0_N_T_R_OW1_L|L_IH1_S_T
アクセスカウンタ	access|counter	AE1_K_S_EH2_S|K_AW1_N_T_ER0
アクセスカウンター	access|counter	AE1_K_S_EH2_S|K_AW1_N_T_ER0
アクセスキー	access|key	AE1_K_S_EH2_S|K_IY1
アクセスレベル	access|level	AE1_K_S_EH2_S|L_EH1_V_AH0_L
アクセスログ	access|log	AE1_K_S_EH2_S|L_AO1_G
アクセスマスク	access|mask	AE1_K_S_EH2_S|M_AE1_S_K
アクセスモード	access|mode	AE1_K_S_EH2_S|M_OW1_D
アクセスパネル	access|panel	AE1_K_S_EH2_S|P_AE1_N_AH0_L
アクセスポイント	access|point	AE1_K_S_EH2_S|P_OY1_N_T
アクセスプロバイダ	access|provider	AE1_K_S_EH2_S|P_R_AH0_V_AY1_D_ER0
アクセスランキング	access|ranking	AE1_K_S_EH2_S|R_AE1_NG_K_IH0_NG
アクセススピード	access|speed	AE1_K_S_EH2_S|S_P_IY1_D
アクセススイッチ	access|switch	AE1_K_S_EH2_S|S_W_IH1_CH
アクセスタイム	access|time	AE1_K_S_EH2_S|T_AY1_M
アコーディオンドア	accordion|door	AH0_K_AO1_R_D_IY0_AH0_N|D_AO1_R
アコーデオンドア	accordion|door	AH0_K_AO1_R_D_IY0_AH0_N|D_AO1_R
アコーディオンプリーツ	accordion|pleats	AH0_K_AO1_R_D_IY0_AH0_N|P_L_IY1_T_S
アコーデオンプリーツ	accordion|pleats	AH0_K_AO1_R_D_IY0_AH0_N|P_L_IY1_T_S
アカウントエイリアス	account|alias	AH0_K_AW1_N_T|EY1_L_IY0_AH0_S
アカウントドメイン	account|domain	AH0_K_AW1_N_T|D_OW0_M_EY1_N
アカウントエグゼクティブ	account|executive	AH0_K_AW1_N_T|IH0_G_Z_EH1_K_Y_AH0_T_IH0_V
アカウントロックアウト	account|lockout	AH0_K_AW1_N_T|L_AA1_K_AW2_T
アカウントマネージャ	account|manager	AH0_K_AW1_N_T|M_AE1_N_AH0_JH_ER0
アカウントプランナー	account|planner	AH0_K_AW1_N_T|P_L_AE1_N_ER0
アカウントポリシー	account|policy	AH0_K_AW1_N_T|P_AA1_L_AH0_S_IY0
アカウントサービス	account|service	AH0_K_AW1_N_T|S_ER1_V_AH0_S
アカウンティングファイル	accounting|file	AH0_K_AW1_N_T_IH0_NG|F_AY1_L
アカウンティングマシン	accounting|machine	AH0_K_AW1_N_T_IH0_NG|M_AH0_SH_IY1_N
エース	ace	EY1_S
エースアタッカー	ace|attacker	EY1_S|AH0_T_AE1_K_ER0
エーススパイカー	ace|spiker	EY1_S|S_P_AY1_K_ER0
アセテートレーヨン	acetate|rayon	AE1_S_AH0_T_EY2_T|R_EY1_AH0_N
アチーブメントテスト	achievement|test	AH0_CH_IY1_V_M_AH0_N_T|T_EH1_S_T
アチーヴメントテスト	achievement|test	AH0_CH_IY1_V_M_AH0_N_T|T_EH1_S_T
アコースティックエミッション	acoustic|emission	AH0_K_UW1_S_T_IH0_K|IH0_M_IH1_SH_AH0_N
アコースティックギター	acoustic|guitar	AH0_K_UW1_S_T_IH0_K|G_IH0_T_AA1_R
アコースティックサウンド	acoustic|sound	AH0_K_UW1_S_T_IH0_K|S_AW1_N_D
アクロバットダンス	acrobatic|dance	AE2_K_R_AH0_B_AE1_T_IH0_K|D_AE1_N_S
アクロバットダンサー	acrobatic|dancer	AE2_K_R_AH0_B_AE1_T_IH0_K|D_AE1_N_S_ER0
アクリルセメント	acryl|cement	AE1_K_R_AH0_L|S_AH0_M_EH1_N_T
アクリルレンズ	acryl|lens	AE1_K_R_AH0_L|L_EH1_N_Z
アクリルプラスチック	acryl|plastic	AE1_K_R_AH0_L|P_L_AE1_S_T_IH0_K
アクリルゴム	acryl|rubber	AE1_K_R_AH0_L|R_AH1_B_ER0
アクリルシロップ	acryl|syrup	AE1_K_R_AH0_L|S_ER1_AH0_P
アクトビット	act|bit	AE2_K_T|B_IH1_T
アクティングアウト	acting|out	AE1_K_T_IH0_NG|AW1_T
アクションバー	action|bar	AE1_K_SH_AH0_N|B_AA1_R
アクションドラマ	action|drama	AE1_K_SH_AH0_N|D_R_AA1_M_AH0
アクションゲーム	action|game	AE1_K_SH_AH0_N|G_EY1_M
アクションアイテム	action|item	AE1_K_SH_AH0_N|AY1_T_AH0_M
アクションプラン	action|plan	AE1_K_SH_AH0_N|P_L_AE1_N
アクションプログラム	action|program	AE1_K_SH_AH0_N|P_R_OW1_G_R_AE2_M
アクションパズル	action|puzzle	AE1_K_SH_AH0_N|P_AH1_Z_AH0_L
アクションパズルゲーム	action|puzzle|game	AE1_K_SH_AH0_N|P_AH1_Z_AH0_L|G_EY1_M
アクションクエリ	action|query	AE1_K_SH_AH0_N|K_W_IY1_R_IY0
アクションリサーチ	action|research	AE1_K_SH_AH0_N|R_IY0_S_ER1_CH
アクションシーン	action|scene	AE1_K_SH_AH0_N|S_IY1_N
アクションスター	action|star	AE1_K_SH_AH0_N|S_T_AA1_R
アクションタイプ	action|type	AE1_K_SH_AH0_N|T_AY1_P
アクティブキャッシュ	active|cache	AE1_K_T_IH0_V|K_AE1_SH
アクティブセル	active|cell	AE1_K_T_IH0_V|S_EH1_L
アクティブチャネル	active|channel	AE1_K_T_IH0_V|CH_AE1_N_AH0_L
アクティブコンテンツ	active|contents	AE1_K_T_IH0_V|K_AA1_N_T_EH0_N_T_S
アクチブディフェンス	active|defense	AE1_K_T_IH0_V|D_IH0_F_EH1_N_S
アクティブディフェンス	active|defense	AE1_K_T_IH0_V|D_IH0_F_EH1_N_S
アクティブデスクトップ	active|desktop	AE1_K_T_IH0_V|D_EH1_S_K_T_AA2_P
アクティブディレクトリ	active|directory	AE1_K_T_IH0_V|D_ER0_EH1_K_T_ER0_IY0
アクティブディスプレイ	active|display	AE1_K_T_IH0_V|D_IH0_S_P_L_EY1
アクティブファイル	active|file	AE1_K_T_IH0_V|F_AY1_L
アクティブフィルタ	active|filter	AE1_K_T_IH0_V|F_IH1_L_T_ER0
アクティブホーミング	active|homing	AE1_K_T_IH0_V|HH_OW1_M_IH0_NG
アクティブハブ	active|hub	AE1_K_T_IH0_V|HH_AH1_B
アクティブマトリックス	active|matrix	AE1_K_T_IH0_V|M_EY1_T_R_IH0_K_S
アクティブマトリクスディスプレイ	active|matrix|display	AE1_K_T_IH0_V|M_EY1_T_R_IH0_K_S|D_IH0_S_P_L_EY1
アクティブオブジェクト	active|object	AE1_K_T_IH0_V|AA1_B_JH_EH0_K_T
アクティブパール	active|perl	AE1_K_T_IH0_V|P_ER1_L
アクティブプログラム	active|program	AE1_K_T_IH0_V|P_R_OW1_G_R_AE2_M
アクティブリスク	active|risk	AE1_K_T_IH0_V|R_IH1_S_K
アクティブセーフティー	active|safety	AE1_K_T_IH0_V|S_EY1_F_T_IY0
アクティブスクリプト	active|script	AE1_K_T_IH0_V|S_K_R_IH1_P_T
アクティブセットアップ	active|setup	AE1_K_T_IH0_V|S_EH1_T_AH2_P
アクティブソーラー	active|solar	AE1_K_T_IH0_V|S_OW1_L_ER0
アクティブソーラーハウス	active|solar|house	AE1_K_T_IH0_V|S_OW1_L_ER0|HH_AW1_S
アクティブソーナー	active|sonar	AE1_K_T_IH0_V|S_OW1_N_AA0_R
アクティブソナー	active|sonar	AE1_K_T_IH0_V|S_OW1_N_AA0_R
アクティブスポーツウエア	active|sportswear	AE1_K_T_IH0_V|S_P_AO1_R_T_S_W_EH2_R
アクティブシステム	active|system	AE1_K_T_IH0_V|S_IH1_S_T_AH0_M
アクティブタスク	active|task	AE1_K_T_IH0_V|T_AE1_S_K
アクティブウィンドウ	active|window	AE1_K_T_IH0_V|W_IH1_N_D_OW0
アクティビティサンプリング	activity|sampling	AE0_K_T_IH1_V_IH0_T_IY0|S_AE1_M_P_L_IH0_NG
アクチュアルポジション	actual|position	AE1_K_CH_AH0_W_AH0_L|P_AH0_Z_IH1_SH_AH0_N
アクチュアルタイム	actual|time	AE1_K_CH_AH0_W_AH0_L|T_AY1_M
アドバルーン	ad|balloon	AE1_D|B_AH0_L_UW1_N
アドキャラクター	ad|character	AE1_D|K_EH1_R_IH0_K_T_ER0
アドホック	ad|hoc	AE1_D|HH_AA1_K
アドホックモード	ad|hoc|mode	AE1_D|HH_AA1_K|M_OW1_D
アドインパクト	ad|impact	AE1_D|IH2_M_P_AE1_K_T
アドマン	ad|man	AE1_D|M_AE1_N
アダプテーションレイヤ	adaptation|layer	AE2_D_AH0_P_T_EY1_SH_AH0_N|L_EY1_ER0
アダプタカード	adaptor|card	AH0_D_AE1_P_T_ER0|K_AA1_R_D
アドモード	add|mode	AE1_D|M_OW1_D
アジスアベバ	addis|ababa	AA1_D_IH0_S|AH0_B_AA1_B_AH0
アディスアベバ	addis|ababa	AA1_D_IH0_S|AH0_B_AA1_B_AH0
アディショナルタイム	additional|time	AH0_D_IH1_SH_AH0_N_AH0_L|T_AY1_M
アドレスバス	address|bus	AE1_D_R_EH2_S|B_AH1_S
アドレスクラス	address|class	AE1_D_R_EH2_S|K_L_AE1_S
アドレスカウンタ	address|counter	AE1_D_R_EH2_S|K_AW1_N_T_ER0
アドレスデコーダ	address|decoder	AE1_D_R_EH2_S|D_IH0_K_OW1_D_ER0
アドレスジェネレータ	address|generator	AE1_D_R_EH2_S|JH_EH1_N_ER0_EY2_T_ER0
アドレスマスク	address|mask	AE1_D_R_EH2_S|M_AE1_S_K
