ア=ー=カ=イ=バ=ル=ファ=イ=ル	AA0=R=K_A=Y1=V_AH0=L=F_A=Y1=L
ア=ー=カ=イ=バ=ル=メ=モ=リ	AA0=R=K_A=Y1=V_AH0=L=M_EH1=M_E=R0=I=Y0
ア=ー=カ=イ=ブ=サ=ー=バ	AA1=R=K_A=Y2=V=S_E=R1=V_E=R0
ア=ー=カ=イ=ブ=サ=ー=バ=ー	AA1=R=K_A=Y2=V=S_E=R1=V_E=R0
ア=ー=カ=イ=ブ=デ=ー=タ=セッ=ト	AA1=R=K_A=Y2=V=D_E=Y1=T_AH0=S_EH1=T
ア=ー=カ=イ=ブ=ビッ=ト	AA1=R=K_A=Y2=V=B_IH1=T
ア=ー=カ=イ=ブ=ファ=イ=ル	AA1=R=K_A=Y2=V=F_A=Y1=L
ア=ー=カ=イ=ブ=ラ=イ=ブ=ラ=リ	AA1=R=K_A=Y2=V=L_A=Y1=B=R_EH0=R_I=Y2
ア=ー=ガ=イ=ル=チェッ=ク	AA1=R=G_A=Y2=L=CH_EH1=K
ア=ー=ガ=ル=チェッ=ク	AA1=R=G_A=Y2=L=CH_EH1=K
ア=ー=ク=エ=ネ=ル=ギ=ー	AA1=R=K=EH1=N_E=R0=JH_I=Y0
ア=ー=ク=ガ=イ=ド	AA1=R=K=G_A=Y1=D
ア=ー=ク=ガ=ウ=ジ=ン=グ	AA1=R=K=G_A=W1=JH_IH0=N=G
ア=ー=ク=ティッ=ク=グ=レ=イ=リ=ン=グ	AA1=R=K=T_IH0=K=G=R_E=Y1=L_IH0=N=G
ア=ー=ク=ティッ=ク=シ=ス=コ	AA1=R=K=T_IH0=K=S_IH1=S=K_O=W2
ア=ー=ク=ティッ=ク=チャ=ー	AA1=R=K=T_IH0=K=CH_AA1=R
ア=ー=ク=ティッ=ク=フ=ラ=ウ=ン=ダ=ー	AA1=R=K=T_IH0=K=F=L_A=W1=N=D_E=R0
ア=ー=ク=ラ=イ=ト	AA1=R=K=L_A=Y1=T
ア=ー=ケ=ー=ド=ゲ=ー=ム	AA0=R=K_E=Y1=D=G_E=Y1=M
ア=ー=ケ=イッ=ク=ス=マ=イ=ル	AA0=R=K_E=Y1=IH0=K=S=M_A=Y1=L
ア=ー=ス=ア=ワ=ー	E=R1=TH=A=W1=E=R0
ア=ー=ス=ダ=ム	E=R1=TH=D_AE1=M
ア=ー=ス=デ=ー	E=R1=TH=D_E=Y1
ア=ー=ス=デ=イ	E=R1=TH=D_E=Y1
ア=ー=ス=マ=ウ=ン=ド	E=R1=TH=M_A=W1=N=D
ア=ー=ス=ム=ー=バ	E=R1=TH=M_U=W1=V_E=R0
ア=ー=セ=ニッ=ク=ク=ロ=ラ=イ=ド	AA1=R=S_AH0=N_IH0=K=K=L_AO1=R_A=Y0=D
ア=ー=チ=ダ=ム	AA1=R=CH=D_AE1=M
ア=ー=ティ=キュ=レ=ー=テッ=ド=ア=ク=ス=ル	AA0=R=T_IH1=K=Y_AH0=L_E=Y2=T_IH0=D=AE1=K=S_AH0=L
ア=ー=ティ=キュ=レ=ー=テッ=ド=シャ=フ=ト	AA0=R=T_IH1=K=Y_AH0=L_E=Y2=T_IH0=D=SH_AE1=F=T
ア=ー=ティ=ス=ティッ=ッ=ク=イ=ン=プ=レッ=ショ=ン	AA0=R=T_IH1=S=T_IH0=K=IH2=M=P=R_EH1=SH_AH0=N
ア=ー=ティ=フィ=シャ=ル=イ=ン=テ=リ=ジェ=ン=ス	AA2=R=T_AH0=F_IH1=SH_AH0=L=IH2=N=T_EH1=L_AH0=JH_AH0=N=S
ア=ー=ト=ガ=ラ=ス	AA1=R=T=G=L_AE1=S
ア=ー=ト=ギャ=ラ=リ=ー	AA1=R=T=G_AE1=L_E=R0=I=Y0
ア=ー=ト=ス=タ=ジ=オ	AA1=R=T=S=T_U=W1=D_I=Y0=O=W2
ア=ー=ト=タ=イ=ト=ル	AA1=R=T=T_A=Y1=T_AH0=L
ア=ー=ト=ディ=レ=ク=タ=ー	AA1=R=T=D_E=R0=EH1=K=T_E=R0
ア=ー=ト=フェ=ア	AA1=R=T=F_EH1=R
ア=ー=ト=フォ=ト=グ=ラ=フィ=ー	AA1=R=T=F_AH0=T_AA1=G=R_AH0=F_I=Y0
ア=ー=ト=ブッ=ク	AA1=R=T=B_UH1=K
ア=ー=バ=ン=エ=ク=ソ=ダ=ス	E=R1=B_AH0=N=EH1=K=S_AH0=D_AH0=S
ア=ー=バ=ン=コ=ン=プ=レッ=ク=ス	E=R1=B_AH0=N=K_AA1=M=P=L_EH0=K=S
ア=ー=バ=ン=ス=プ=ロ=ー=ル	E=R1=B_AH0=N=S=P=R_AO1=L
ア=ー=バ=ン=ツ=イ=ル	E=R1=B_AH0=N=T=W_IH1=L
ア=ー=バ=ン=デ=ク=ラ=イ=ン	E=R1=B_AH0=N=D_IH0=K=L_A=Y1=N
ア=ー=バ=ン=デ=ザ=イ=ナ=ー	E=R1=B_AH0=N=D_IH0=Z_A=Y1=N_E=R0
ア=ー=バ=ン=デ=ザ=イ=ン	E=R1=B_AH0=N=D_IH0=Z_A=Y1=N
ア=ー=バ=ン=ビ=レッ=ジ	E=R1=B_AH0=N=V_IH1=L_AH0=JH
ア=ー=バ=ン=ファ=ー=ニ=チャ=ー	E=R1=B_AH0=N=F_E=R1=N_IH0=CH_E=R0
ア=ー=バ=ン=ファ=ミ=リ=ー	E=R1=B_AH0=N=F_AE1=M_AH0=L_I=Y0
ア=ー=バ=ン=ブ=ル=ー=ス	E=R1=B_AH0=N=B=L_U=W1=Z
ア=ー=バ=ン=プ=ラ=ン=ナ=ー	E=R1=B_AH0=N=P=L_AE1=N_E=R0
ア=ー=バ=ン=ラ=イ=フ	E=R1=B_AH0=N=L_A=Y1=F
ア=ー=バ=ン=リ=ゾ=ー=ト	E=R1=B_AH0=N=R_IH0=Z_AO1=R=T
ア=ー=バ=ン=リ=ニュ=ー=ア=ル	E=R1=B_AH0=N=R_IH0=N_U=W1=AH0=L
ア=ー=バ=ン=リ=ニュ=ア=ル	E=R1=B_AH0=N=R_IH0=N_U=W1=AH0=L
ア=ー=ビ=ト=レ=ー=ショ=ン=グ=ル=ー=プ	AA2=R=B_IH0=T=R_E=Y1=SH_AH0=N=G=R_U=W1=P
ア=ー=ビ=ト=レ=ー=ショ=ン=レ=ベ=ル	AA2=R=B_IH0=T=R_E=Y1=SH_AH0=N=L_EH1=V_AH0=L
ア=ー=マ=ー=プ=レ=ー=ト	AA1=R=M_E=R0=P=L_E=Y1=T
ア=ー=ミ=ー=ブ=ル=ー	AA1=R=M_I=Y0=B=L_U=W1
ア=ー=ミ=ー=ルッ=ク	AA1=R=M_I=Y0=L_UH1=K
ア=ー=ム=カ=バ=ー	AA1=R=M=K_AH1=V_E=R0
ア=ー=ム=チェ=ア=ー=ディ=テ=ク=ティ=ブ	AA1=R=M=CH_EH2=R=D_IH0=T_EH1=K=T_IH0=V
ア=ー=ム=チェ=ア=ディ=テ=ク=ティ=ブ	AA1=R=M=CH_EH2=R=D_IH0=T_EH1=K=T_IH0=V
ア=ー=ム=バ=ン=ド	AA1=R=M=B_AE1=N=D
ア=ー=ム=ラ=イ=ト	AA1=R=M=L_A=Y1=T
ア=ー=モ=ン=ド=パ=ウ=ダ=ー	AA1=M_AH0=N=D=P_A=W1=D_E=R0
ア=ー=モ=ン=ド=ミ=ー=ル	AA1=M_AH0=N=D=M_I=Y1=L
ア=ー=リ=ー=ア=メ=リ=カ=ン	E=R1=L_I=Y0=AH0=M_EH1=R_IH0=K_AH0=N
ア=ー=リ=ー=ミュ=ー=ジッ=ク	E=R1=L_I=Y0=M=Y_U=W1=Z_IH0=K
ア=ー=ル=グ=レ=イ	E=R1=L=G=R_E=Y1
ア=ー=ル=デ=コ	AA1=R=T=D_EH1=K_O=W0
ア=ー=ル=ヌ=ー=ボ=ー	AA1=R=T=N_U=W2=V_O=W1
ア=ー=ル=ヌ=ー=ヴォ=ー	AA1=R=T=N_U=W2=V_O=W1
ア=ー=ン=ド=メ=ディ=ア	E=R1=N=D=M_I=Y1=D_I=Y0=AH0
ア=イ=ア=ン=ク=ラ=ブ	A=Y1=E=R0=N=K=L_AH1=B
ア=イ=ア=ン=サ=イ=ト	A=Y1=E=R0=N=S_A=Y1=T
ア=イ=ア=ン=メ=イ=デ=ン	A=Y1=E=R0=N=M_E=Y1=D_AH0=N
ア=イ=ケ=ア=グ=ラ=ス	S_E=Y1=F=T_I=Y0=G=L_AE1=S_AH0=Z
ア=イ=コ=ン=エ=ディ=タ	A=Y1=K_AA0=N=EH1=D_AH0=T_E=R0
ア=イ=コ=ン=キャ=ラ=ク=タ	A=Y1=K_AA0=N=K_EH1=R_IH0=K=T_E=R0
ア=イ=コ=ン=タ=ク=ト	A=Y1=K_AA1=N=T_AE2=K=T
ア=イ=シ=ン=グ=ザ=パッ=ク	A=Y1=S_IH0=N=G=DH_AH0=P_AH1=K
ア=イ=ス=ア=リ=ー=ナ	A=Y1=S=E=R0=I=Y1=N_AH0
ア=イ=ス=ウォ=ー=タ=ー	A=Y1=S=T=W_AO1=T_E=R0
ア=イ=ス=キュ=ー=ブ	A=Y1=S=K=Y_U=W1=B
ア=イ=ス=ク=ラ=イ=ミ=ン=グ	A=Y1=S=K=L_A=Y1=M_IH0=N=G
ア=イ=ス=ク=リ=ー=ム=コ=ー=ン	A=Y1=S=K=R_I=Y1=M=K_O=W1=N
ア=イ=ス=コ=ー=ヒ=ー	A=Y1=S=T=K_AA1=F_I=Y0
ア=イ=ス=コ=ン=デ=ン=サ	A=Y1=S=K_AH0=N=D_EH1=N=S_E=R0
ア=イ=ス=ショ=ー	A=Y1=S=SH_O=W1
ア=イ=ス=ジャ=イ=ア=ン=ト	A=Y1=S=JH_A=Y1=AH0=N=T
ア=イ=ス=ス=ケ=ー=ト	A=Y1=S=S=K_E=Y1=T_IH0=N=G
ア=イ=ス=ダ=イ=ビ=ン=グ	A=Y1=S=D_A=Y1=V_IH0=N=G
ア=イ=ス=ダ=ン=ス	A=Y1=S=D_AE1=N=S_IH0=N=G
ア=イ=ス=ト=ン=グ	A=Y1=S=T_AA1=N=G=Z
