アードバーク	aardvark	AA1_R_D_V_AA2_R_K
アバカス	abacus	AE1_B_AH0_K_AH0_S
アバクス	abacus	AE1_B_AH0_K_AH0_S
アブダクション	abduction	AE0_B_D_AH1_K_SH_AH0_N
アベンド	abend	AE1_B_EH0_N_D
アーベント	abend	AE1_B_EH0_N_D
アビリティー	ability	AH0_B_IH1_L_AH0_T_IY2
アブノーマル	abnormal	AE0_B_N_AO1_R_M_AH0_L
アブノーマルエンド	abnormal|end	AE0_B_N_AO1_R_M_AH0_L|EH1_N_D
アボリジニ	aborigine	AE2_B_ER0_IH1_JH_AH0_N_IY0
アボリジニー	aborigine	AE2_B_ER0_IH1_JH_AH0_N_IY0
アボリジン	aborigine	AE2_B_ER0_IH1_JH_AH0_N_IY0
アボート	abort	AH0_B_AO1_R_T
アボーション	abortion	AH0_B_AO1_R_SH_AH0_N
アバウト	about	AH0_B_AW1_T
アブラカダブラ	abracadabra	AE2_B_R_AH0_K_AH0_D_AE1_B_R_AH0
アブセンティズム	absenteeism	AE2_B_S_AH0_N_T_IY1_IH0_Z_AH0_M
アブソリュート	absolute	AE1_B_S_AH0_L_UW2_T
アブソルート	absolute	AE1_B_S_AH0_L_UW2_T
アブソリューティズム	absolutism	AE1_B_S_AH0_L_UW2_T_IH2_Z_AH0_M
アブソーバー	absorber	AH0_B_Z_AO1_R_B_ER0
アブストラクト	abstract	AE0_B_S_T_R_AE1_K_T
アブストラクション	abstraction	AE0_B_S_T_R_AE1_K_SH_AH0_N
アブダビ	abu|dhabi	AE1_B_UW0|D_AA1_B_IY0
アビュース	abuse	AH0_B_Y_UW1_S
アビューズ	abuse	AH0_B_Y_UW1_S
アビシニアジャッカル	abyssinia|jackal	AE0_B_S_IH1_N_IY2_AH0|JH_AE1_K_AH0_L
アビシニアン	abyssinian	AE0_B_S_IH1_N_IY2_AH0_N
アカシア	acacia	AH0_K_EY1_SH_AH0
アカシヤ	acacia	AH0_K_EY1_SH_AH0
アケイシャ	acacia	AH0_K_EY1_SH_AH0
アカデミック	academic	AE2_K_AH0_D_EH1_M_IH0_K
アカデミックハラスメント	academic|harassment	AE2_K_AH0_D_EH1_M_IH0_K|HH_ER0_AE1_S_M_AH0_N_T
アカデミシャン	academician	AE2_K_AH0_D_AH0_M_IH1_SH_AH0_N
アカデミー	academy	AH0_K_AE1_D_AH0_M_IY0
アキャデミィ	academy	AH0_K_AE1_D_AH0_M_IY0
アカプルコ	acapulco	AE2_K_AH0_P_UH1_L_K_OW0
アクセラレータ	accelerator	AE0_K_S_EH1_L_ER0_EY2_T_ER0
アクセラレーター	accelerator	AE0_K_S_EH1_L_ER0_EY2_T_ER0
アクセル	accelerator	AH0_K_S_EH1_L
アクセルレータ	accelerator	AE0_K_S_EH1_L_ER0_EY2_T_ER0
アクセレレーター	accelerator	AE0_K_S_EH1_L_ER0_EY2_T_ER0
アクサン	accent	AH0_K_S_EH1_N_T
アクセント	accent	AH0_K_S_EH1_N_T
