アフターシェーブローション	after|shave|lotion	AE1_F_T_ER0|SH_EY1_V|L_OW1_SH_AH0_N
アフロキューバンリズム	afro|cuban|rhythm	AE1_F_R_OW0|K_Y_UW1_B_AH0_N|R_IH1_DH_AH0_M
アンツーカ	en|tout|cas	EH1_N|T_AW1_T|K_AE1_S
アンツーカー	en|tout|cas	EH1_N|T_AW1_T|K_AE1_S
イヤラウンドファッション	year|round|fashion	Y_IH1_R|R_AW1_N_D|F_AE1_SH_AH0_N
ウォッシュアンドウエア	wash|and|wear	W_AA1_SH|AH0_N_D|W_EH1_R
ウォッシュアンドウェア	wash|and|wear	W_AA1_SH|AH0_N_D|W_EH1_R
ウオッシュアンドウエア	wash|and|wear	W_AA1_SH|AH0_N_D|W_EH1_R
オートキャンプ	motor|home|camping	M_OW1_T_ER0|HH_OW1_M|K_AE1_M_P_IH0_NG
オートチューニングデッキ	automatic|tuning|deck	AO2_T_AH0_M_AE1_T_IH0_K|T_UW1_N_IH0_NG|D_EH1_K
オーバーナイトフォトサービス	overnight|photo|service	OW1_V_ER0_N_AY1_T|F_OW1_T_OW2|S_ER1_V_AH0_S
オールインワン	all|in|one	AO1_L|IH0_N|W_AH1_N
オールオアナシング	all|or|nothing	AO1_L|AO1_R|N_AH1_TH_IH0_NG
オールシーズンコート	all|season|coat	AO1_L|S_IY1_Z_AH0_N|K_OW1_T
オールシーズンドレス	all|season|dress	AO1_L|S_IY1_Z_AH0_N|D_R_EH1_S
オスパー	ocean|space|explorer	OW1_SH_AH0_N|S_P_EY1_S|IH0_K_S_P_L_AO1_R_ER0
オフレコ	off|the|record	AO1_F|DH_AH0|R_AH0_K_AO1_R_D
オンジエア	on|the|air	AA1_N|DH_AH0|EH1_R
オンユアマーク	on|your|mark	AA1_N|Y_AO1_R|M_AA1_R_K
グラスファイバーポール	glass|fiber|pole	G_L_AE1_S|F_AY1_B_ER0|P_OW1_L
コストパーサウスザンド	cost|per|thousand	K_AA1_S_T|P_ER1|TH_AW1_Z_AH0_N_D
サークライン	circular|fluorescent|lamp	S_ER1_K_Y_AH0_L_ER0|F_L_UH2_R_EH1_S_AH0_N_T|L_AE1_M_P
サブバンク	subsidiary|bank|account	S_AH0_B_S_IH1_D_IY0_EH2_R_IY0|B_AE1_NG_K|AH0_K_AW1_N_T
サンプルセリングシステム	sample|selling|system	S_AE1_M_P_AH0_L|S_EH1_L_IH0_NG|S_IH1_S_T_AH0_M
シーピーアイ	consumer|price|index	K_AH0_N_S_UW1_M_ER0|P_R_AY1_S|IH1_N_D_EH0_K_S
シーピーエス	consumer|price|survey	K_AH0_N_S_UW1_M_ER0|P_R_AY1_S|S_ER0_V_EY1
ショートサーキットアピール	short|circuit|appeal	SH_AO1_R_T|S_ER1_K_AH0_T|AH0_P_IY1_L
スーパーハイデッカー	super|high|decker	S_UW1_P_ER0|HH_AY1|D_EH1_K_ER0
スキルインベントリーシステム	skills|inventory|system	S_K_IH1_L_Z|IH2_N_V_AH0_N_T_AO1_R_IY0|S_IH1_S_T_AH0_M
スタックパーマ	stacking|permanent|wave	S_T_AE1_K_IH0_NG|P_ER1_M_AA0_N_EH2_N_T|W_EY1_V
ステップバイステップ	step|by|step	S_T_EH1_P|B_AY1|S_T_EH1_P
スリーピース	three|piece|suit	TH_R_IY1|P_IY1_S|S_UW1_T
スローモー	slow|moving|person	S_L_OW1|M_UW1_V_IH0_NG|P_ER1_S_AH0_N
テイクオーバービッド	take|over|bid	T_EY1_K|OW1_V_ER0|B_IH1_D
テークオーバービッド	take|over|bid	T_EY1_K|OW1_V_ER0|B_IH1_D
ドアツードア	door|to|door	D_AO1_R|T_UW1|D_AO1_R
ドゥーイットユアセルフ	do|it|yourself	D_UW1|IH1_T|Y_ER0_S_EH1_L_F
ドゥイットユアセルフ	do|it|yourself	D_UW1|IH1_T|Y_ER0_S_EH1_L_F
ニューレイヤーズルック	new|layers|look	N_UW1|L_EY1_ER0_Z|L_UH1_K
ノータム	notice|to|airmen	N_OW1_T_IH0_S|T_UW1|EH1_R_M_EH2_N
ノーランストッキング	no|run|stockings	N_OW1|R_AH1_N|S_T_AA1_K_IH0_NG_Z
ノンアタッチメントディジーズ	non|attachment|disease	N_AA1_N|AH0_T_AE1_CH_M_AH0_N_T|D_IH0_Z_IY1_Z
ハーフサイズカメラ	half|size|camera	HH_AE1_F|S_AY1_Z|K_AE1_M_ER0_AH0
ハイキートーン	high|key|tone	HH_AY1|K_IY1|T_OW1_N
ハイレベルレンゲージ	high|level|language	HH_AY1|L_EH1_V_AH0_L|L_AE1_NG_G_W_AH0_JH
バイト	part|time|job	P_AA1_R_T|T_AY1_M|JH_AA1_B
バギー	all|terrain|vehicle	AO1_L|T_ER0_EY1_N|V_IY1_HH_IH0_K_AH0_L
パークアンドライド	park|and|ride	P_AA1_R_K|AH0_N_D|R_AY1_D
ヒットエンドラン	hit|and|run	HH_IH1_T|AH0_N_D|R_AH1_N
ビル	multi|floor|building	M_AH1_L_T_IY0|F_L_AO1_R|B_IH1_L_D_IH0_NG
ピンレバーウォッチ	pin|lever|watch	P_IH1_N|L_EH1_V_ER0|W_AA1_CH
フライ	deep|fried|food	D_IY1_P|F_R_AY1_D|F_UW1_D
フレックス	flexible|hours|system	F_L_EH1_K_S_AH0_B_AH0_L|AW1_ER0_Z|S_IH1_S_T_AH0_M
マンツーマン	man|to|man	M_AE1_N|T_UW1|M_AE1_N
ミドルエージシンドローム	middle|age|syndrome	M_IH1_D_AH0_L|EY1_JH|S_IH1_N_D_R_OW2_M
ミニフロッピーディスク	mini|floppy|disk	M_IH1_N_IY0|F_L_AA1_P_IY0|D_IH1_S_K
